PCA Tuned 1,PCA Tuned 2,phrase,label
0.264501633,0.263532174,3d computer graphics,cs
0.200459918,0.328884593,3d core graphics system,cs
0.450390415,0.462960331,Gradient boosting,cs
0.320029169,0.343903539,Node Link,cs
0.064214382,0.393180115,Object Oriented Programming,cs
0.37889563,0.097478266,Singleton pattern,cs
0.099914061,0.332532296,abstract algebra,cs
0.083642152,0.353707803,abstract data structures,cs
0.093450167,0.372732495,abstract data type,cs
0.093035586,0.270618666,abstract graphical data type,cs
0.138281169,0.247122425,abstract machines,cs
0.377662869,0.149722937,acoustic model,cs
0.418234355,0.422461458,active networking,cs
0.295937164,0.35615228,adaptive huffman coding,cs
0.10751934,0.505719393,adaptive predictive coding,cs
0.418510901,0.689832825,adjacency list,cs
0.155014039,0.587898254,adjacency list data structure,cs
0.314057735,0.124469207,adjacent vertices,cs
0.174662235,0.378891128,advanced computing environment,cs
0.224710438,0.434279684,affective computing,cs
0.068184131,0.380966131,algebraic theories,cs
0.094433526,0.465922011,algorithmic assignment,cs
0.030724076,0.394513801,algorithmic complexity theory,cs
0.052398566,0.389968635,algorithmic design,cs
0.030944726,0.425248018,algorithmic information theory,cs
0.209317832,0.411621786,analog filters,cs
0.417809938,0.233752114,analog recording,cs
0.342162133,0.254617548,analog signal,cs
0.308549877,0.341686589,analog-to-digital converter,cs
0.460247881,0.489803234,application crashing,cs
0.199449729,0.41050093,application programming interface,cs
0.20124376,0.41346593,application programming interfaces,cs
0.086247222,0.359430102,applied mathematics,cs
0.02705902,0.464675279,approximation algorithms,cs
0.493722043,0.283022273,arnoldi iteration,cs
0.347306028,0.427891408,array list,cs
0.347683166,0.409583434,artificial bee colony algorithm,cs
0.201925676,0.31375271,artificial consciousness,cs
0.149056703,0.408272577,artificial intelligence,cs
0.209426566,0.416560129,artificial intelligent agents,cs
0.107309697,0.348458268,artificial neural network,cs
0.094492001,0.348065346,artificial neural networks,cs
0.174379981,0.316403161,artificial neurons,cs
0.15736141,0.306431356,artificial neurons stochastic transfer functions,cs
0.100898239,0.351030094,artificial systems,cs
0.133926733,0.330003341,associative arrays,cs
0.138801436,0.551002054,associative classifier,cs
0.223411906,0.255718451,augmented reality,cs
0.228662625,0.629649337,authentication mechanism,cs
0.115746032,0.272444547,automata theory,cs
0.161596023,0.293202279,automata-based programming,cs
0.203463552,0.476750193,automatic memory management,cs
0.306605596,0.392568534,automatic speech recognition,cs
0.178635621,0.383672215,autonomic computing,cs
0.22890966,0.408198549,autonomic networking,cs
0.310104785,0.314696534,autonomous operation,cs
0.182507724,0.366157921,autonomous processing nodes,cs
0.751537485,0.10867081,avl trees,cs
0.045188594,0.375112962,axiomatic set theory,cs
0.700871155,0.358918506,back end,cs
0.099761213,0.376297373,backpropagation based artificial neural networks,cs
0.155456262,0.328847074,backward euler method,cs
0.192132223,0.405015421,balanced binary search trees,cs
0.156067069,0.382174158,basic function,cs
0.693399232,0.319329088,bayes net,cs
0.48878155,0.416459543,bayes network,cs
0.176515129,0.355813101,bayesian network,cs
0.146812844,0.351669942,bayesian networks,cs
0.25076907,0.448132793,bcjr algorithm,cs
0.109014262,0.478134557,behavioral software design pattern,cs
0.288618545,0.46930677,belief network,cs
0.22142367,0.486887829,bernstein basis polynomials,cs
0.173300664,0.359233631,bernstein polynomial,cs
0.330527002,0.398505553,bernstein polynomials,cs
0.209868864,0.365324355,big data,cs
0.121823865,0.35340922,binary arithmetic,cs
