PCA Tuned 0,PCA Tuned 1,PCA Tuned 2,PCA Tuned 3,phrase,label
0.264501687,0.263519337,0.539791058,0.734605155,3d computer graphics,cs
0.20045994,0.32888432,0.527751448,0.76527178,3d core graphics system,cs
0.450390269,0.462971726,0.216720883,0.416944283,Gradient boosting,cs
0.320029103,0.343938658,0.498994697,0.561161695,Node Link,cs
0.06421437,0.393202657,0.404824478,0.500708488,Object Oriented Programming,cs
0.37889562,0.097501815,0.577012969,0.190208144,Singleton pattern,cs
0.099914069,0.332547822,0.531162929,0.303879046,abstract algebra,cs
0.083642144,0.35372577,0.534357477,0.414767821,abstract data structures,cs
0.093450118,0.372754793,0.555575667,0.403237962,abstract data type,cs
0.093035597,0.270629105,0.549746487,0.504741321,abstract graphical data type,cs
0.138281196,0.247136644,0.534777367,0.55930318,abstract machines,cs
0.377662927,0.149687905,0.387544159,0.407423184,acoustic model,cs
0.418234287,0.422477307,0.211398416,0.701941439,active networking,cs
0.29593714,0.356177434,0.315119055,0.616470256,adaptive huffman coding,cs
0.107519292,0.505754425,0.362736774,0.477515079,adaptive predictive coding,cs
0.418510804,0.689852853,0.258089897,0.258529684,adjacency list,cs
0.155013988,0.587906942,0.472517029,0.350324249,adjacency list data structure,cs
0.314057739,0.124471446,0.587624156,0.32482069,adjacent vertices,cs
0.17466225,0.378896576,0.427541508,0.790189849,advanced computing environment,cs
0.224710441,0.434284005,0.454311302,0.640469188,affective computing,cs
0.068184169,0.380978926,0.45895621,0.206128492,algebraic theories,cs
0.094433527,0.465943602,0.388207919,0.434648672,algorithmic assignment,cs
0.030724114,0.394528867,0.509390745,0.322874849,algorithmic complexity theory,cs
0.052398582,0.389997547,0.430397646,0.514280447,algorithmic design,cs
0.030944755,0.425260516,0.475446559,0.36319127,algorithmic information theory,cs
0.209317707,0.411649749,0.474751063,0.389872845,analog filters,cs
0.417809881,0.233761349,0.438940625,0.425278506,analog recording,cs
0.342162098,0.254649825,0.530967947,0.445794462,analog signal,cs
0.308549859,0.341695334,0.5170432,0.742261601,analog-to-digital converter,cs
0.460247866,0.489804119,0.709537943,0.766165834,application crashing,cs
0.199449697,0.410526252,0.36644395,0.701960265,application programming interface,cs
0.201243734,0.413488772,0.382950868,0.709847813,application programming interfaces,cs
0.086247187,0.359453976,0.340297131,0.326174056,applied mathematics,cs
0.027058986,0.464699193,0.639310313,0.315137271,approximation algorithms,cs
0.493722001,0.283024249,0.37983547,0.294204488,arnoldi iteration,cs
0.347305946,0.427917216,0.580835992,0.414343409,array list,cs
0.347683088,0.409618467,0.54608272,0.388141136,artificial bee colony algorithm,cs
0.201925603,0.313778058,0.362366142,0.298908121,artificial consciousness,cs
0.149056674,0.408305222,0.374737435,0.390993451,artificial intelligence,cs
0.209426585,0.416585137,0.392908172,0.375005816,artificial intelligent agents,cs
0.107309667,0.348487353,0.429588625,0.403367914,artificial neural network,cs
0.094491973,0.348095178,0.429872656,0.398581221,artificial neural networks,cs
0.174379922,0.316434352,0.440929764,0.363474204,artificial neurons,cs
0.157361375,0.306453161,0.476115645,0.4460642,artificial neurons stochastic transfer functions,cs
0.100898215,0.351056452,0.428077027,0.44967387,artificial systems,cs
0.133926736,0.330014782,0.526903688,0.469404456,associative arrays,cs
0.138801424,0.55099773,0.392792419,0.119424132,associative classifier,cs
0.223411979,0.2556825,0.43618311,0.384664662,augmented reality,cs
0.228662617,0.629669684,0.411462885,0.681286945,authentication mechanism,cs
0.115746021,0.272454434,0.46487458,0.1900114,automata theory,cs
0.161596004,0.29320494,0.351005031,0.524402344,automata-based programming,cs
0.203463546,0.476756257,0.429231744,0.654819946,automatic memory management,cs
0.306605626,0.392575914,0.288038289,0.431081891,automatic speech recognition,cs
0.178635636,0.383687318,0.38043631,0.772256522,autonomic computing,cs
0.228909654,0.408220567,0.221538708,0.683896078,autonomic networking,cs
0.310104891,0.314704313,0.449466661,0.771326588,autonomous operation,cs
0.182507754,0.366169492,0.475318206,0.69168206,autonomous processing nodes,cs
0.751537424,0.108721999,0.614178445,0.338860601,avl trees,cs
0.045188627,0.375125559,0.52422616,0.203634374,axiomatic set theory,cs
0.700871141,0.358936526,0.631208442,0.491536789,back end,cs
0.099761189,0.376309282,0.4338202,0.403675695,backpropagation based artificial neural networks,cs
0.155456199,0.328872297,0.507580427,0.396777733,backward euler method,cs
0.192132181,0.405036701,0.592539757,0.237539232,balanced binary search trees,cs
0.156066973,0.382220753,0.400293498,0.507923538,basic function,cs
0.693399161,0.319343256,0.578120608,0.582709152,bayes net,cs
0.488781514,0.416472024,0.485487936,0.716660863,bayes network,cs
0.176515135,0.355828655,0.557918776,0.375567669,bayesian network,cs
0.146812848,0.351687095,0.574476674,0.337938598,bayesian networks,cs
0.250769051,0.448154319,0.484702781,0.46954853,bcjr algorithm,cs
0.109014224,0.478168605,0.361265216,0.457689649,behavioral software design pattern,cs
0.288618543,0.469331588,0.344896773,0.379093216,belief network,cs
0.221423712,0.486876028,0.484562293,0.044082912,bernstein basis polynomials,cs
0.173300688,0.359239838,0.609913996,0.211774785,bernstein polynomial,cs
0.330527033,0.398489479,0.408436333,0.08541862,bernstein polynomials,cs
0.209868865,0.365333879,0.519157938,0.633030837,big data,cs
0.121823861,0.353414597,0.576506758,0.304210034,binary arithmetic,cs
0.214210646,0.411648225,0.668543602,0.297839252,binary dependent variable,cs
0.31597191,0.368624878,0.616204617,0.502422772,binary file,cs
0.313267383,0.147721516,0.610046653,0.303528285,binary floating point,cs
0.205507456,0.377302943,0.507604492,0.313120914,binary inputs,cs
0.149955595,0.367142445,0.517023621,0.341084103,binary lexicographic code,cs
0.175875893,0.41402571,0.503235461,0.299153638,binary lexicographic codes,cs
0.196685531,0.302691707,0.562974546,0.451854742,binary operation,cs
0.295220308,0.422054996,0.524694257,0.189293716,binary search tree,cs
0.141131093,0.433484905,0.558925869,0.305384973,binary search tree algorithm,cs
0.345802593,0.382176714,0.547483161,0.12190658,binary search trees,cs
0.191237971,0.394080252,0.644605593,0.382344603,binary space partitioning,cs
0.445609401,0.397617072,0.664788844,0.132345143,binary splitting,cs
0.390961211,0.223640145,0.53868223,0.086098342,binary tree,cs
0.437145398,0.189582181,0.565598076,0.109103401,binary trees,cs
0.183712546,0.325534953,0.409363494,0.678463854,bio-inspired computing,cs
0.268210291,0.448570368,0.242695863,0.23952701,biodiversity informatics,cs
0.118146442,0.397161097,0.397709646,0.582050997,biologically inspired computing,cs
0.223553478,0.298535828,0.713463172,0.686284274,bit array,cs
