PCA Tuned 0,PCA Tuned 1,PCA Tuned 2,PCA Tuned 3,PCA Tuned 4,phrase,label
0.3580399,0.264501626,0.263514383,0.539704534,0.734652911,3d computer graphics,cs
0.361594473,0.200459894,0.328873915,0.527513399,0.765298212,3d core graphics system,cs
0.20490413,0.450390388,0.462900459,0.215791653,0.41684923,Gradient boosting,cs
0.50921329,0.320029122,0.343898934,0.498499211,0.561118899,Node Link,cs
0.381390303,0.064214389,0.393165185,0.404293718,0.500663027,Object Oriented Programming,cs
0.514177086,0.378895615,0.097462576,0.576512045,0.190177825,Singleton pattern,cs
0.527006652,0.099914092,0.332498613,0.530582465,0.303788679,abstract algebra,cs
0.680629494,0.083642143,0.35369662,0.533984865,0.414719637,abstract data structures,cs
0.639402806,0.093450144,0.372714703,0.555014969,0.403180144,abstract data type,cs
0.55677552,0.093035574,0.270601638,0.549409584,0.504712265,abstract graphical data type,cs
0.530978819,0.138281197,0.247103532,0.534331054,0.559288005,abstract machines,cs
0.314373456,0.377662808,0.14971014,0.387774143,0.40750687,acoustic model,cs
0.414068847,0.418234313,0.422444901,0.211025455,0.701936149,active networking,cs
0.131066128,0.295937187,0.356126344,0.314481531,0.61644037,adaptive huffman coding,cs
0.327032631,0.107519319,0.50571448,0.36211175,0.477462331,adaptive predictive coding,cs
0.485108715,0.41851086,0.68982038,0.257417746,0.258462166,adjacency list,cs
0.694492015,0.155014013,0.587892209,0.47210126,0.350301584,adjacency list data structure,cs
0.560369795,0.314057695,0.124426524,0.587187573,0.324743038,adjacent vertices,cs
0.385537972,0.174662225,0.378867447,0.427141841,0.790162705,advanced computing environment,cs
0.276976242,0.224710416,0.434262708,0.453962849,0.640457933,affective computing,cs
0.534661962,0.068184166,0.380944935,0.458528854,0.206055733,algebraic theories,cs
0.357782749,0.094433541,0.465916305,0.387720943,0.43463015,algorithmic assignment,cs
0.481368536,0.030724101,0.394501435,0.50899732,0.322823751,algorithmic complexity theory,cs
0.423886187,0.052398542,0.389984744,0.430136334,0.514277405,algorithmic design,cs
0.496038965,0.030944734,0.425242501,0.475120063,0.36316205,algorithmic information theory,cs
0.549631498,0.20931777,0.411595636,0.474004658,0.389825385,analog filters,cs
0.543373306,0.417809874,0.233743993,0.438582045,0.425317444,analog recording,cs
0.47694959,0.3421621,0.254602171,0.530296968,0.445748549,analog signal,cs
0.408967384,0.308549833,0.34167335,0.516693984,0.742276847,analog-to-digital converter,cs
0.215034963,0.460247853,0.489787466,0.709179847,0.766198559,application crashing,cs
0.336326569,0.19944972,0.41047961,0.365853613,0.701905297,application programming interface,cs
0.371915383,0.20124376,0.413440616,0.382344725,0.709791307,application programming interfaces,cs
0.412950694,0.086247225,0.359404022,0.339664947,0.326098239,applied mathematics,cs
0.534623828,0.027059009,0.464667631,0.638752931,0.315109149,approximation algorithms,cs
0.440773028,0.493721973,0.283018927,0.37965085,0.294265936,arnoldi iteration,cs
0.844232131,0.347305984,0.427878346,0.580220847,0.414299653,array list,cs
0.404735654,0.347683175,0.409569583,0.545260158,0.388105029,artificial bee colony algorithm,cs
0.288061144,0.201925608,0.313752315,0.361915079,0.298891715,artificial consciousness,cs
0.369442874,0.149056678,0.408277699,0.374225953,0.390962906,artificial intelligence,cs
0.343634219,0.209426578,0.416566715,0.392473903,0.374994567,artificial intelligent agents,cs
0.338944729,0.107309676,0.348456332,0.429051374,0.403336144,artificial neural network,cs
0.365328915,0.094491984,0.348062443,0.429325462,0.398547399,artificial neural networks,cs
0.300698972,0.174379955,0.316393722,0.440286624,0.363439006,artificial neurons,cs
0.285315445,0.157361424,0.306404883,0.475423602,0.446026739,artificial neurons stochastic transfer functions,cs
0.385334073,0.100898219,0.351031837,0.427598292,0.449664703,artificial systems,cs
0.5370953,0.133926732,0.329991779,0.526490814,0.469395104,associative arrays,cs
0.427508322,0.138801429,0.550978588,0.39233838,0.119372337,associative classifier,cs
0.471740794,0.223411827,0.25572436,0.436567669,0.384767932,augmented reality,cs
0.40328108,0.228662617,0.629656871,0.411038623,0.681287433,authentication mechanism,cs
0.382064002,0.11574601,0.272427922,0.464450088,0.189981714,automata theory,cs
0.31825604,0.161596001,0.29317951,0.350602922,0.524415375,automata-based programming,cs
0.291441751,0.203463513,0.476748565,0.428971601,0.654833225,automatic memory management,cs
0.240548662,0.306605567,0.392557963,0.28772641,0.4310434,automatic speech recognition,cs
0.352073039,0.178635607,0.383659831,0.380039806,0.772226281,autonomic computing,cs
