PCA Untuned 0,PCA Untuned 1,phrase,label
0.772155212,0.461343721,3d computer graphics,cs
0.664994638,0.36284043,3d core graphics system,cs
0.442277963,0.23548602,Gradient boosting,cs
0.523487577,0.275112664,Node Link,cs
0.701845055,0.296945542,Object Oriented Programming,cs
0.350772478,0.590434283,Singleton pattern,cs
0.678605719,0.820160957,abstract algebra,cs
0.535057265,0.856280014,abstract data structures,cs
0.473654147,0.86212608,abstract data type,cs
0.515566279,0.862396474,abstract graphical data type,cs
0.472809487,0.842268005,abstract machines,cs
0.397164981,0.474115985,acoustic model,cs
0.408673878,0.049625882,active networking,cs
0.543086025,0.376125135,adaptive huffman coding,cs
0.567847258,0.308389756,adaptive predictive coding,cs
0.426321097,0.41241737,adjacency list,cs
0.602360587,0.330521612,adjacency list data structure,cs
0.307934852,0.354128773,adjacent vertices,cs
0.629569421,0.179886418,advanced computing environment,cs
0.774850267,0.29836569,affective computing,cs
0.694858263,0.389168061,algebraic theories,cs
0.680517505,0.324245313,algorithmic assignment,cs
0.861043446,0.437036832,algorithmic complexity theory,cs
0.766143532,0.300778665,algorithmic design,cs
0.838371609,0.312513169,algorithmic information theory,cs
0.55214385,0.685841681,analog filters,cs
0.543198952,0.709182491,analog recording,cs
0.434153316,0.699695166,analog signal,cs
0.615741825,0.600291822,analog-to-digital converter,cs
0.554341731,0.703449312,application crashing,cs
0.793438215,0.184436134,application programming interface,cs
0.786654151,0.203266606,application programming interfaces,cs
0.749123335,0.415853263,applied mathematics,cs
0.615312654,0.458667607,approximation algorithms,cs
0.366644176,0.473572963,arnoldi iteration,cs
0.527914933,0.384358696,array list,cs
0.788411743,0.513905242,artificial bee colony algorithm,cs
0.468232669,0.800649773,artificial consciousness,cs
0.708262258,0.52543647,artificial intelligence,cs
0.585441367,0.523277318,artificial intelligent agents,cs
0.748389045,0.468664335,artificial neural network,cs
0.764848981,0.483393865,artificial neural networks,cs
0.578962011,0.686735225,artificial neurons,cs
0.748922618,0.474950454,artificial neurons stochastic transfer functions,cs
0.509488069,0.664298948,artificial systems,cs
0.418283713,0.391719287,associative arrays,cs
0.444836084,0.353518809,associative classifier,cs
0.52326335,0.319953293,augmented reality,cs
0.566107155,0.269302597,authentication mechanism,cs
0.822433253,0.339065479,automata theory,cs
0.824607763,0.313343518,automata-based programming,cs
0.644763546,0.384258405,automatic memory management,cs
0.410689258,0.349807079,automatic speech recognition,cs
0.781211574,0.339806323,autonomic computing,cs
0.719434309,0.274684802,autonomic networking,cs
0.19370314,0.356687352,autonomous operation,cs
0.617258577,0.234849854,autonomous processing nodes,cs
0.360085822,0.411859366,avl trees,cs
0.589870476,0.289273021,axiomatic set theory,cs
0.240496421,0.579540357,back end,cs
0.855691931,0.465288789,backpropagation based artificial neural networks,cs
0.387596407,0.75876157,backward euler method,cs
0.436157497,0.488870455,balanced binary search trees,cs
0.141080766,0.304195605,basic function,cs
0.36490088,0.375352943,bayes net,cs
0.379883657,0.342071395,bayes network,cs
0.641590105,0.401613564,bayesian network,cs
0.650612793,0.407705836,bayesian networks,cs
0.536414446,0.325559261,bcjr algorithm,cs
0.83417143,0.330497661,behavioral software design pattern,cs
0.440731708,0.294143833,belief network,cs
0.506467229,0.490359059,bernstein basis polynomials,cs
0.515665985,0.497510268,bernstein polynomial,cs
0.487568845,0.473123296,bernstein polynomials,cs
0.293897625,0.181263546,big data,cs
0.62729113,0.79057978,binary arithmetic,cs
0.400423887,0.679576571,binary dependent variable,cs
0.460965429,0.754258502,binary file,cs
0.452396256,0.830808534,binary floating point,cs
0.36242972,0.830574718,binary inputs,cs
0.578776902,0.746533001,binary lexicographic code,cs
0.527340248,0.793895454,binary lexicographic codes,cs
0.331837526,0.860360707,binary operation,cs
0.663284128,0.660803371,binary search tree,cs
0.715340169,0.538047785,binary search tree algorithm,cs
0.658250655,0.757153782,binary search trees,cs
0.60694253,0.721420591,binary space partitioning,cs
0.452569631,0.819189025,binary splitting,cs
0.498204278,0.816122738,binary tree,cs
0.532225208,0.866136315,binary trees,cs
0.799284881,0.26290573,bio-inspired computing,cs
0.631229893,0.268670583,biodiversity informatics,cs
0.730491819,0.205761656,biologically inspired computing,cs
0.588367167,0.42742501,bit array,cs
0.506587549,0.380836245,bit sequences,cs
0.444772427,0.491539691,bit slicing,cs
0.377025569,0.55204593,bit string,cs
0.293174831,0.577388864,bitwise operation,cs
0.425326258,0.535273929,bitwise operations,cs
0.600487918,0.555782403,block lanczos algorithm,cs
0.591105833,0.406956446,boltzmann learning rule,cs
0.584787444,0.382714484,bonferroni testing,cs
0.811144535,0.547477014,boolean algebra,cs
0.701370566,0.544671908,boolean function,cs
0.705422271,0.545637675,boolean functions,cs
0.674479351,0.607436591,boolean logic,cs
0.681170624,0.544227137,boolean operators,cs
0.331135455,0.181030457,boosting methods,cs
0.393741563,0.617487961,boundary singularity,cs
0.455520358,0.404610898,bsp tree,cs
0.51865364,0.518545489,buffer overflows,cs
0.721172772,0.568594013,buffer overflowsruntime error detection tools,cs
0.453831573,0.421296998,c4 model,cs
0.548510394,0.616074574,caesar cipher,cs
0.392352849,0.573673382,caesar shift,cs
0.230084442,0.464069292,categorical label,cs
0.611703954,0.341334556,category theory,cs
0.330282718,0.244856044,character recognition,cs
0.428961611,0.293040648,character sets,cs
0.484879895,0.435741147,characteristic polynomial,cs
0.546439458,0.197897295,chi-square automatic interaction detection,cs
0.439879266,0.308597046,child nodes,cs
0.461199201,0.319830869,child vertices,cs
0.429723007,0.735348185,cholesky decomposition,cs
0.218238151,0.334636136,classic ad hoc,cs
0.434783922,0.440377902,classical backpropagation rule,cs
0.572333917,0.397060644,classical computer,cs
0.275487103,0.26939017,classification accuracy,cs
0.665486125,0.376765074,classification algorithms,cs
0.373007939,0.345270598,classification criteria,cs
