PCA Untuned 0,PCA Untuned 1,PCA Untuned 2,PCA Untuned 3,phrase,label
0.772154808,0.461349106,0.545601278,0.603203795,3d computer graphics,cs
0.66499435,0.362843714,0.399467204,0.504953693,3d core graphics system,cs
0.442277692,0.235487835,0.538447953,0.354575858,Gradient boosting,cs
0.523487845,0.275105589,0.270108958,0.267711635,Node Link,cs
0.701845016,0.296945779,0.512570646,0.397191597,Object Oriented Programming,cs
0.350772377,0.590428758,0.309332167,0.223884677,Singleton pattern,cs
0.678605886,0.820164539,0.404266501,0.438027108,abstract algebra,cs
0.535057483,0.85627486,0.591589471,0.348842083,abstract data structures,cs
0.473654306,0.862122358,0.47117399,0.309897457,abstract data type,cs
0.515566478,0.86239438,0.473335715,0.364512608,abstract graphical data type,cs
0.472809422,0.842266204,0.564644086,0.378147393,abstract machines,cs
0.397165119,0.474123025,0.287034964,0.410545934,acoustic model,cs
0.408674136,0.049625228,0.596054669,0.456146591,active networking,cs
0.543086043,0.376120326,0.357213249,0.446850684,adaptive huffman coding,cs
0.567847138,0.308384155,0.38176455,0.404201425,adaptive predictive coding,cs
0.426321239,0.412415031,0.254364245,0.152949584,adjacency list,cs
0.602361014,0.330518249,0.257607161,0.172820375,adjacency list data structure,cs
0.307935024,0.354126536,0.507569346,0.372620228,adjacent vertices,cs
0.629569267,0.179885651,0.552583677,0.537720784,advanced computing environment,cs
0.774850063,0.298363548,0.493413013,0.472914533,affective computing,cs
0.694858253,0.389178022,0.46155779,0.383996682,algebraic theories,cs
0.680517648,0.324243273,0.491346427,0.429754384,algorithmic assignment,cs
0.861043746,0.43703693,0.637805416,0.422402705,algorithmic complexity theory,cs
0.766143545,0.300777618,0.477828687,0.477625277,algorithmic design,cs
0.838371805,0.312509965,0.448987775,0.474885333,algorithmic information theory,cs
0.552143537,0.685848487,0.236394103,0.427677304,analog filters,cs
0.54319883,0.709188521,0.212631321,0.481513344,analog recording,cs
0.434153155,0.699696487,0.245139596,0.420502959,analog signal,cs
0.615741778,0.600295635,0.241835245,0.394893584,analog-to-digital converter,cs
0.554341584,0.703450929,0.708920153,0.155919436,application crashing,cs
0.793438155,0.184437938,0.440095763,0.388799655,application programming interface,cs
0.786654099,0.203268054,0.458471122,0.363854633,application programming interfaces,cs
0.749123361,0.415866732,0.379675096,0.526283587,applied mathematics,cs
0.615312453,0.458673273,0.405573635,0.435984702,approximation algorithms,cs
0.366644139,0.473571859,0.091600594,0.277666037,arnoldi iteration,cs
0.527914801,0.384355166,0.219824057,0.203376272,array list,cs
0.788411632,0.513896862,0.416457942,0.55922708,artificial bee colony algorithm,cs
0.468232369,0.800644062,0.568617816,0.352930808,artificial consciousness,cs
0.708261877,0.525431671,0.68169826,0.503817567,artificial intelligence,cs
0.585441083,0.523271166,0.642981476,0.570946044,artificial intelligent agents,cs
0.748389172,0.468655859,0.567434902,0.459414995,artificial neural network,cs
0.764849222,0.483385702,0.639522074,0.467656154,artificial neural networks,cs
0.57896183,0.686728686,0.624681916,0.478210245,artificial neurons,cs
0.74892296,0.474943446,0.527894913,0.446300839,artificial neurons stochastic transfer functions,cs
0.509487784,0.664294142,0.630277087,0.283178266,artificial systems,cs
0.418283928,0.39171716,0.334144594,0.189861872,associative arrays,cs
0.44483615,0.353518462,0.263219315,0.170806973,associative classifier,cs
0.523262951,0.319948711,0.511113238,0.407381612,augmented reality,cs
0.566107809,0.269299388,0.324337236,0.3478818,authentication mechanism,cs
0.82243361,0.339067368,0.30052807,0.352348658,automata theory,cs
0.82460801,0.313341783,0.419660264,0.370143394,automata-based programming,cs
0.644763536,0.384255668,0.4073044,0.674908008,automatic memory management,cs
0.410689065,0.349807557,0.300481087,0.53115255,automatic speech recognition,cs
0.781211484,0.339806383,0.408299016,0.436152471,autonomic computing,cs
0.719434539,0.274682911,0.459878362,0.416890789,autonomic networking,cs
0.193702973,0.356687589,0.347314652,0.693904719,autonomous operation,cs
0.617258564,0.234850302,0.468708545,0.468341007,autonomous processing nodes,cs
0.360085712,0.411853538,0.330492606,0.328083571,avl trees,cs
0.589870871,0.28927376,0.274564355,0.338239834,axiomatic set theory,cs
0.240496132,0.579543287,0.248479293,0.11972988,back end,cs
0.855692253,0.465282111,0.520058621,0.467333437,backpropagation based artificial neural networks,cs
0.387596174,0.758762038,0.320521641,0.211664357,backward euler method,cs
0.436157525,0.488866208,0.298042293,0.794862109,balanced binary search trees,cs
0.141080777,0.304199769,0.224100837,0.509751399,basic function,cs
0.364900906,0.375350923,0.156914601,0.175884996,bayes net,cs
0.379883752,0.342069367,0.155122353,0.167679527,bayes network,cs
0.641590346,0.40160913,0.277764,0.346604983,bayesian network,cs
0.650613162,0.407702007,0.382727939,0.377396255,bayesian networks,cs
0.536414751,0.325558355,0.233222903,0.351494688,bcjr algorithm,cs
0.834171746,0.330497287,0.430433984,0.45862176,behavioral software design pattern,cs
0.440731777,0.294140016,0.250562819,0.276868576,belief network,cs
0.506467622,0.490367532,0.229548207,0.512707146,bernstein basis polynomials,cs
0.515666361,0.497519826,0.233314441,0.537712802,bernstein polynomial,cs
0.487569181,0.473132743,0.22990273,0.50345383,bernstein polynomials,cs
0.293897936,0.181259602,0.846449427,0.397748692,big data,cs
0.627291073,0.790576751,0.267979367,0.524012035,binary arithmetic,cs
0.400423907,0.67957332,0.283812615,0.300608704,binary dependent variable,cs
0.460965318,0.754251743,0.258732611,0.457096693,binary file,cs
0.452396293,0.83080411,0.184223979,0.472533976,binary floating point,cs
0.362429652,0.830568744,0.334205562,0.374365178,binary inputs,cs
0.578777057,0.746529275,0.308063168,0.494135237,binary lexicographic code,cs
0.527340406,0.793892936,0.39675806,0.40342595,binary lexicographic codes,cs
0.331837325,0.860356218,0.28737884,0.413229328,binary operation,cs
0.663284053,0.66079328,0.254492695,0.423967139,binary search tree,cs
0.715340136,0.53803722,0.25727371,0.463025819,binary search tree algorithm,cs
0.658250634,0.757144412,0.324090377,0.43945782,binary search trees,cs
0.606942553,0.721414893,0.289766464,0.398441007,binary space partitioning,cs
0.4525694,0.81918537,0.284933183,0.308695433,binary splitting,cs
0.498204375,0.816114663,0.310000856,0.359092759,binary tree,cs
0.532225325,0.866130172,0.363398026,0.408828509,binary trees,cs
0.799284508,0.262908421,0.451589147,0.620304721,bio-inspired computing,cs
0.631229448,0.268669764,0.263857795,0.398972137,biodiversity informatics,cs
0.730491359,0.205761037,0.49738331,0.672557863,biologically inspired computing,cs
0.588366768,0.427424022,0.253975953,0.268623792,bit array,cs
0.506587242,0.380838839,0.440548931,0.252774254,bit sequences,cs
0.444771787,0.491545246,0.357219371,0.177776625,bit slicing,cs
0.37702519,0.552046488,0.367857185,0.165896529,bit string,cs
0.293174607,0.577387641,0.426227291,0.525034127,bitwise operation,cs
0.425326059,0.535272432,0.44859752,0.485761998,bitwise operations,cs
0.600488323,0.555777311,0.270283103,0.217045041,block lanczos algorithm,cs
0.591106244,0.406957449,0.181985789,0.353488107,boltzmann learning rule,cs
0.584787774,0.382719365,0.182165188,0.261587551,bonferroni testing,cs
0.811144817,0.547480234,0.274704562,0.537617432,boolean algebra,cs
0.701370754,0.544671209,0.367724549,0.407973766,boolean function,cs
0.705422477,0.545637318,0.433325719,0.404653723,boolean functions,cs
0.674479661,0.607436837,0.355198318,0.512480988,boolean logic,cs
0.681170858,0.544226338,0.404587251,0.382545519,boolean operators,cs
0.331135263,0.181029209,0.459409795,0.327555412,boosting methods,cs
0.393741608,0.617487395,0.329879037,0.133663677,boundary singularity,cs
0.455520491,0.404603756,0.118698627,0.367059313,bsp tree,cs
0.518653622,0.518542896,0.50666345,0.115204964,buffer overflows,cs
0.72117288,0.568589514,0.54344228,0.307478813,buffer overflowsruntime error detection tools,cs
0.45383164,0.421301521,0.274457145,0.31370132,c4 model,cs
0.548510336,0.616074826,0.254499331,0.269506204,caesar cipher,cs
0.392352477,0.573674764,0.251500067,0.11738225,caesar shift,cs
0.230084304,0.4640702,0.432285457,0.188701577,categorical label,cs
0.611703927,0.34133968,0.362159895,0.197640022,category theory,cs
0.330282533,0.244857214,0.333261311,0.369132194,character recognition,cs
0.428961828,0.293041967,0.374734312,0.158214287,character sets,cs
0.484879963,0.435751079,0.291721438,0.452769264,characteristic polynomial,cs
0.546439599,0.197895429,0.357996906,0.502646236,chi-square automatic interaction detection,cs
0.43987938,0.30859131,0.46913626,0.277694729,child nodes,cs
0.461199208,0.319825065,0.410089711,0.301048382,child vertices,cs
0.4297224,0.735351926,0.585406217,0.27236462,cholesky decomposition,cs
0.218238528,0.334637649,0.229137176,0.413673753,classic ad hoc,cs
0.434784374,0.440380141,0.228446209,0.254359974,classical backpropagation rule,cs
0.572334127,0.39706962,0.324625157,0.600311036,classical computer,cs
0.275487128,0.269391198,0.350860642,0.490438524,classification accuracy,cs
0.665486158,0.376765143,0.426728571,0.238825564,classification algorithms,cs
0.373007872,0.345273837,0.34002285,0.076896505,classification criteria,cs
0.439589526,0.653205412,0.615047647,0.067562922,classification problem,cs
0.501996874,0.366868353,0.36785926,0.095065247,classification tasks,cs
0.461654318,0.361064141,0.299213844,0.340413337,clique trees,cs
0.564825201,0.40637296,0.264606197,0.242183048,clock cycle,cs
0.724442057,0.398759888,0.483375545,0.370892845,clustering algorithms,cs
0.824489836,0.376061127,0.369131215,0.389958511,code libraries,cs
0.701284204,0.411399697,0.31048726,0.345241414,code stylometry,cs
0.703336065,0.326719223,0.348447373,0.338100122,coding theory,cs
0.68394921,0.22999371,0.417591403,0.423897478,cognitive architecture,cs
0.69479199,0.221910193,0.414810711,0.378535964,cognitive architectures,cs
0.510887395,0.263747903,0.463820266,0.356565653,cognitive dimensions,cs
0.667313506,0.232179989,0.404382732,0.399008684,cognitive modeling,cs
0.760291818,0.288017695,0.550039457,0.573077187,cognitive robotics,cs
0.711827341,0.268391332,0.455935867,0.512406912,cognitive science,cs
0.622412143,0.257022086,0.485805314,0.31329549,cognitive theories,cs
0.714098589,0.398551331,0.478715707,0.368683325,combinatorial game theory,cs
0.46986434,0.235029398,0.345163187,0.229820932,communications network,cs
0.375279428,0.378380476,0.186834411,0.228461998,comparison sort,cs
0.747850118,0.402778223,0.371406021,0.320958304,comparison sorting algorithms,cs
0.351866853,0.319146046,0.291885002,0.151566289,comparison sorts,cs
0.442143087,0.854478138,0.649015623,0.226409672,compilation error,cs
0.449260821,0.825762762,0.729872466,0.230606611,compilation errors,cs
0.456679307,0.227160525,0.427565814,0.70372758,compiler correctness,cs
0.922896165,0.362176786,0.358812864,0.442119948,compiler design,cs
0.84567025,0.330921654,0.544388569,0.531734783,compiler optimization,cs
0.884353348,0.341549369,0.514766224,0.511461376,compiler optimization technique,cs
0.806481124,0.356104248,0.298041819,0.390832433,compiler theory,cs
0.356772411,0.462085076,0.857384603,0.198518205,complex functions,cs
0.533666104,0.417372882,0.833228661,0.297025664,complex vector spaces,cs
0.636340492,0.501509032,0.635500205,0.203934195,complexity theory,cs
0.505035117,0.465462905,0.22651666,0.243410684,composition filters,cs
0.641876396,0.529996836,0.279445336,0.456978261,compound logic gates,cs
0.401396094,0.570371895,0.572511936,0.246973752,compressed data,cs
0.525198126,0.275720376,0.329099125,0.310957775,computation time,cs
0.862432443,0.430993541,0.683913821,0.40381326,computational complexity theory,cs
0.908186548,0.344780259,0.480097951,0.53360335,computational engineering,cs
0.734628032,0.323174442,0.461610514,0.562800613,computational ethics,cs
0.771198858,0.343399696,0.520569694,0.374276523,computational fluid dynamics,cs
0.731340445,0.242526863,0.4103861,0.401254604,computational framework,cs
0.74533716,0.280205839,0.55888652,0.648847677,computational intelligence,cs
0.896567106,0.317749048,0.480172908,0.524059743,computational learning theory,cs
0.857859888,0.391389644,0.513703308,0.512297035,computational linguistics,cs
0.888599552,0.346753409,0.506796274,0.5497572,computational materials science,cs
0.89571817,0.449905796,0.514558324,0.617806508,computational mathematics,cs
0.744231213,0.28832496,0.494330209,0.396392928,computational models,cs
0.621013152,0.360124024,0.38440014,0.597567547,computational morality,cs
0.859171814,0.275910933,0.539100645,0.450694403,computational neural network models,cs
0.818005873,0.42454025,0.507083815,0.53003027,computational physics,cs
0.716521985,0.41975755,0.683770145,0.356352855,computational problems,cs
0.705899878,0.300300894,0.469182203,0.463710654,computational resource,cs
0.700253822,0.278532203,0.560988935,0.475377749,computational resources,cs
0.77924738,0.4761441,0.39477517,0.505937838,computational statistics,cs
0.71593176,0.306235838,0.435712682,0.396631036,computational system,cs
0.42514596,0.7113813,0.851639309,0.45264515,computationally intractable,cs
0.785071649,0.443968578,0.328634786,0.514992344,compute arithmetic operations,cs
0.94312096,0.337541729,0.507097195,0.585177286,computer architecture,cs
0.9031666,0.385834831,0.459521096,0.493881424,computer code,cs
