PCA Untuned 0,PCA Untuned 1,PCA Untuned 2,PCA Untuned 3,PCA Untuned 4,phrase,label
0.43442641,0.77215475,0.461351371,0.545671897,0.603187289,3d computer graphics,cs
0.39392569,0.664994172,0.362846211,0.399517557,0.504934871,3d core graphics system,cs
0.432210407,0.442278577,0.235486947,0.538511212,0.354592279,Gradient boosting,cs
0.300918365,0.523487724,0.275106891,0.270068059,0.267710204,Node Link,cs
0.12375629,0.701844667,0.29694767,0.512554999,0.397179526,Object Oriented Programming,cs
0.230811513,0.35077219,0.590430968,0.309297074,0.223872046,Singleton pattern,cs
0.427601483,0.678606011,0.820165366,0.404261516,0.438026746,abstract algebra,cs
0.232972338,0.53505722,0.856276085,0.591550856,0.348839921,abstract data structures,cs
0.206770584,0.473654172,0.862123513,0.471148804,0.309895657,abstract data type,cs
0.200376726,0.515566429,0.862395222,0.473319854,0.364514739,abstract graphical data type,cs
0.31719245,0.472809471,0.84226702,0.564631799,0.378145446,abstract machines,cs
0.247661704,0.397165278,0.474123295,0.287060615,0.410549543,acoustic model,cs
0.441373886,0.40867461,0.04962504,0.596062898,0.456158808,active networking,cs
0.33053492,0.543085854,0.376121512,0.357209591,0.446848969,adaptive huffman coding,cs
0.203464721,0.56784713,0.308385247,0.3817707,0.404203095,adaptive predictive coding,cs
0.259524523,0.426321261,0.412416005,0.254363229,0.15295433,adjacency list,cs
0.219916383,0.602360847,0.330519205,0.257577819,0.172825936,adjacency list data structure,cs
0.339771579,0.307935007,0.354127787,0.507526447,0.372619955,adjacent vertices,cs
0.463268121,0.629569309,0.17988777,0.552638366,0.537709515,advanced computing environment,cs
0.290669246,0.774850375,0.298364693,0.493466366,0.472914917,affective computing,cs
0.443602194,0.694858732,0.389178325,0.461584273,0.383996418,algebraic theories,cs
0.221142956,0.680517854,0.324243428,0.491351086,0.429764281,algorithmic assignment,cs
0.311805181,0.861043652,0.437037721,0.637815796,0.422405514,algorithmic complexity theory,cs
0.204266834,0.766143768,0.30077815,0.477852324,0.477630283,algorithmic design,cs
0.233865961,0.838371767,0.312510838,0.448989862,0.474888929,algorithmic information theory,cs
0.406716235,0.552143691,0.685849253,0.236460493,0.427674638,analog filters,cs
0.525614669,0.543198898,0.70918893,0.212671578,0.481515283,analog recording,cs
0.479432551,0.434153141,0.699697592,0.245159909,0.42050094,analog signal,cs
0.526648148,0.615741816,0.600295664,0.241869851,0.394900429,analog-to-digital converter,cs
0.484577711,0.554342031,0.703451116,0.708969575,0.155928223,application crashing,cs
0.220742493,0.793438054,0.184439859,0.440119842,0.388791845,application programming interface,cs
0.216020102,0.786653917,0.203270112,0.458489215,0.363845116,application programming interfaces,cs
0.332480423,0.749123583,0.415867711,0.379703301,0.526278953,applied mathematics,cs
0.179012658,0.615312789,0.458674336,0.405629597,0.435981739,approximation algorithms,cs
0.480824221,0.366644108,0.473572884,0.091596388,0.277664038,arnoldi iteration,cs
0.424167997,0.527914808,0.384357091,0.219818688,0.203367703,array list,cs
0.445855318,0.788411688,0.513898097,0.416402123,0.559219581,artificial bee colony algorithm,cs
0.287312405,0.468232298,0.800645639,0.568624653,0.352924742,artificial consciousness,cs
0.32391316,0.708261741,0.525434068,0.681710911,0.503803333,artificial intelligence,cs
0.249024272,0.585440847,0.523273308,0.642970742,0.570934023,artificial intelligent agents,cs
0.30192437,0.748388971,0.468657105,0.567406569,0.459412964,artificial neural network,cs
0.305949935,0.764848934,0.483386862,0.639486024,0.467655259,artificial neural networks,cs
0.323473652,0.57896182,0.686729704,0.624671425,0.478209303,artificial neurons,cs
0.305210426,0.748922781,0.474943273,0.527847248,0.446312508,artificial neurons stochastic transfer functions,cs
0.242368769,0.509487765,0.664295738,0.630277152,0.2831724,artificial systems,cs
0.24115831,0.418283898,0.391717771,0.334117853,0.189864864,associative arrays,cs
0.175736601,0.44483601,0.353519971,0.263207874,0.170803944,associative classifier,cs
0.484521191,0.523262852,0.319950855,0.511132858,0.407370272,augmented reality,cs
0.156749518,0.566107262,0.269300086,0.324270296,0.347888794,authentication mechanism,cs
0.436390934,0.822433459,0.339067693,0.300478859,0.352354892,automata theory,cs
0.407984105,0.824607728,0.313342484,0.419609921,0.370142632,automata-based programming,cs
0.340328109,0.644763707,0.384255844,0.407314907,0.674911744,automatic memory management,cs
0.428359541,0.410689355,0.349807471,0.300497609,0.531165177,automatic speech recognition,cs
