tSNE Tuned 0,tSNE Tuned 1,phrase,label
0.257252028,0.532861122,3d computer graphics,cs
0.260122824,0.530246554,3d core graphics system,cs
0.890646589,0.546709795,Gradient boosting,cs
0.462595563,0.350107946,Node Link,cs
0.583192805,0.641585223,Object Oriented Programming,cs
0.465324748,0.311835782,Singleton pattern,cs
0.608830962,0.727303704,abstract algebra,cs
0.336727971,0.760082507,abstract data structures,cs
0.335455793,0.764874651,abstract data type,cs
0.425929352,0.645485118,abstract graphical data type,cs
0.376104354,0.579068522,abstract machines,cs
0.374096902,0.382223266,acoustic model,cs
0.614532164,0.388161236,active networking,cs
0.302106576,0.595320467,adaptive huffman coding,cs
0.473827375,0.684399097,adaptive predictive coding,cs
0.461892242,0.932463543,adjacency list,cs
0.305277123,0.813321818,adjacency list data structure,cs
0.365132493,0.276214876,adjacent vertices,cs
0.274859137,0.556286377,advanced computing environment,cs
0.32037613,0.550373608,affective computing,cs
0.636129847,0.730030158,algebraic theories,cs
0.490786218,0.682320581,algorithmic assignment,cs
0.640451535,0.73439576,algorithmic complexity theory,cs
0.449699162,0.6930569,algorithmic design,cs
0.643926693,0.732459957,algorithmic information theory,cs
0.463139098,0.550586818,analog filters,cs
0.365005562,0.407888563,analog recording,cs
0.355667194,0.420081757,analog signal,cs
0.230069611,0.509502524,analog-to-digital converter,cs
0.415405009,0.444593548,application crashing,cs
0.244381073,0.614912299,application programming interface,cs
0.244404601,0.614783279,application programming interfaces,cs
0.623691657,0.708651915,applied mathematics,cs
0.511866525,0.786445939,approximation algorithms,cs
0.617863394,0.153588361,arnoldi iteration,cs
0.032763023,0.440250082,array list,cs
0.706329187,0.432040416,artificial bee colony algorithm,cs
0.668054918,0.547479741,artificial consciousness,cs
0.675854165,0.573159263,artificial intelligence,cs
0.683274201,0.57077527,artificial intelligent agents,cs
0.619475784,0.556613465,artificial neural network,cs
0.617481659,0.560495004,artificial neural networks,cs
0.634402089,0.544980824,artificial neurons,cs
0.609428242,0.53731115,artificial neurons stochastic transfer functions,cs
0.612841938,0.566203498,artificial systems,cs
0.594026626,0.54752786,associative arrays,cs
0.547338282,0.826693735,associative classifier,cs
0.70170265,0.481575803,augmented reality,cs
0.132984871,0.625886494,authentication mechanism,cs
0.671513963,0.758582254,automata theory,cs
0.577544546,0.628626242,automata-based programming,cs
0.35860199,0.50456587,automatic memory management,cs
0.791309449,0.52922537,automatic speech recognition,cs
0.277549721,0.560083962,autonomic computing,cs
0.61073649,0.40057153,autonomic networking,cs
0.293661497,0.476120388,autonomous operation,cs
0.307903113,0.49851385,autonomous processing nodes,cs
0.359076594,0.093411641,avl trees,cs
0.651391468,0.734526477,axiomatic set theory,cs
0.547827252,0.203918841,back end,cs
0.625112986,0.562834601,backpropagation based artificial neural networks,cs
0.870818996,0.81642606,backward euler method,cs
0.517145141,0.631000261,balanced binary search trees,cs
0.607640257,0.61258241,basic function,cs
0.356427171,0.2396088,bayes net,cs
0.250839258,0.372298582,bayes network,cs
0.534565451,0.59643734,bayesian network,cs
0.534850603,0.596804075,bayesian networks,cs
0.455609629,0.731107751,bcjr algorithm,cs
0.456766949,0.687328943,behavioral software design pattern,cs
0.628196053,0.424753904,belief network,cs
0.618794517,0.779793625,bernstein basis polynomials,cs
0.555576536,0.762880899,bernstein polynomial,cs
0.619942925,0.779557346,bernstein polynomials,cs
0.268834383,0.781117832,big data,cs
0.566963472,0.716344151,binary arithmetic,cs
0.549537792,0.482977713,binary dependent variable,cs
0.437317575,0.377548172,binary file,cs
0.5393416,0.489358981,binary floating point,cs
0.546366221,0.490972805,binary inputs,cs
0.639979819,0.662241857,binary lexicographic code,cs
0.640874307,0.664779376,binary lexicographic codes,cs
0.543416168,0.493231827,binary operation,cs
0.518298329,0.628476161,binary search tree,cs
0.516225593,0.633990349,binary search tree algorithm,cs
0.519130446,0.626827082,binary search trees,cs
0.52844873,0.505697115,binary space partitioning,cs
0.949496878,0.486296683,binary splitting,cs
0.848571411,0.301800088,binary tree,cs
0.848465038,0.301563831,binary trees,cs
0.312427281,0.560547608,bio-inspired computing,cs
0.816166055,0.678633895,biodiversity informatics,cs
0.330391606,0.570103861,biologically inspired computing,cs
0.33387324,0.340255418,bit array,cs
0.422602145,0.344829299,bit sequences,cs
0.516122436,0.119904378,bit slicing,cs
0.426911986,0.349256191,bit string,cs
0.503295812,0.585464753,bitwise operation,cs
0.500917201,0.587774701,bitwise operations,cs
0.462310606,0.693707454,block lanczos algorithm,cs
0.861163219,0.604034501,boltzmann learning rule,cs
0.537069675,0.079778623,bonferroni testing,cs
0.611362746,0.723303747,boolean algebra,cs
0.508147654,0.380903708,boolean function,cs
0.5074842,0.379948747,boolean functions,cs
0.648749318,0.707491529,boolean logic,cs
0.504805946,0.379072781,boolean operators,cs
0.760898949,0.602019413,boosting methods,cs
