tSNE Tuned 0,tSNE Tuned 1,tSNE Tuned 2,tSNE Tuned 3,phrase,label
0.576820546,0.379772735,0.369648448,0.65553518,3d computer graphics,cs
0.548594103,0.387433636,0.371868467,0.650117308,3d core graphics system,cs
0.410458805,0.059571931,0.53173882,0.434162758,Gradient boosting,cs
0.444693589,0.817543938,0.347464721,0.582332389,Node Link,cs
0.640492702,0.619916738,0.637803866,0.463810712,Object Oriented Programming,cs
0.685460524,0.403498371,0.494894177,0.814006184,Singleton pattern,cs
0.672767998,0.553541441,0.415352218,0.26936232,abstract algebra,cs
0.780366876,0.602906046,0.493452971,0.449325762,abstract data structures,cs
0.796085492,0.572843832,0.495120131,0.455122012,abstract data type,cs
0.788313927,0.549245101,0.484557807,0.485062928,abstract graphical data type,cs
0.705390815,0.487739033,0.447642287,0.551559892,abstract machines,cs
0.460491915,0.18104845,0.622182032,0.710590557,acoustic model,cs
0.38638595,0.779147952,0.446861102,0.509219687,active networking,cs
0.559717915,0.184772659,0.772911655,0.657176486,adaptive huffman coding,cs
0.543528929,0.364239322,0.585678115,0.446596824,adaptive predictive coding,cs
0.817918848,0.555924683,0.828948355,0.31907918,adjacency list,cs
0.816632356,0.584650881,0.778446094,0.361813872,adjacency list data structure,cs
0.584069021,0.677344919,0.419551286,0.819834351,adjacent vertices,cs
0.565542117,0.524113041,0.53730048,0.576486506,advanced computing environment,cs
0.589205716,0.515411569,0.478930129,0.516675563,affective computing,cs
0.643687925,0.530543601,0.448670104,0.241705376,algebraic theories,cs
0.565673321,0.320888671,0.745405681,0.513762925,algorithmic assignment,cs
0.604713927,0.494562798,0.481314077,0.253027495,algorithmic complexity theory,cs
0.609001553,0.416286207,0.646201798,0.469246041,algorithmic design,cs
0.584591107,0.491371996,0.534577293,0.273446135,algorithmic information theory,cs
0.872767191,0.713615817,0.530299652,0.528031557,analog filters,cs
0.499146287,0.483542146,0.221842807,0.685054985,analog recording,cs
0.504137927,0.501950452,0.229064639,0.659073135,analog signal,cs
0.57694379,0.693845537,0.411130192,0.604148009,analog-to-digital converter,cs
0.265626454,0.416453091,0.563776965,0.363832951,application crashing,cs
0.673197844,0.510831637,0.529577969,0.639836927,application programming interface,cs
0.669999699,0.514882313,0.548197772,0.64312425,application programming interfaces,cs
0.676052452,0.525837728,0.50534018,0.280055469,applied mathematics,cs
0.688086332,0.336658817,0.585066093,0.37401566,approximation algorithms,cs
0.294063343,0.44811616,0.547493873,0.814020756,arnoldi iteration,cs
0.15506003,0.703708677,0.462088282,0.408809554,array list,cs
0.449855282,0.51833141,0.440492269,0.982691794,artificial bee colony algorithm,cs
0.436634175,0.521745319,0.525822425,0.312276207,artificial consciousness,cs
0.473393481,0.496686188,0.583643375,0.435890527,artificial intelligence,cs
0.48949614,0.470608199,0.621136913,0.441313201,artificial intelligent agents,cs
0.493335045,0.516668073,0.471373902,0.389700875,artificial neural network,cs
0.522881917,0.5281322,0.475232451,0.393634165,artificial neural networks,cs
0.473167541,0.482026593,0.440211498,0.357972936,artificial neurons,cs
0.473336144,0.488848995,0.368822917,0.384090097,artificial neurons stochastic transfer functions,cs
0.544047106,0.534441623,0.469491684,0.43502345,artificial systems,cs
0.486313228,0.607825854,0.450743993,0.42203498,associative arrays,cs
0.731244177,0.337118157,0.541922178,0.256103676,associative classifier,cs
0.358669755,0.759454139,0.386213089,0.274875636,augmented reality,cs
0.48699902,0.785370937,0.632997937,0.497046915,authentication mechanism,cs
0.510878469,0.396796323,0.404343637,0.224984046,automata theory,cs
0.582542036,0.585080352,0.694636359,0.4601973,automata-based programming,cs
0.394359684,0.52536595,0.524777792,0.51929478,automatic memory management,cs
0.325479311,0.557466589,0.691147107,0.248776196,automatic speech recognition,cs
0.570852001,0.542316324,0.553915706,0.552656593,autonomic computing,cs
0.406723958,0.824944341,0.533807052,0.486218017,autonomic networking,cs
0.563082833,0.18060055,0.520140992,0.668751087,autonomous operation,cs
0.57238315,0.617973386,0.372954326,0.56025202,autonomous processing nodes,cs
0.224208582,0.696876131,0.439534442,0.915522826,avl trees,cs
0.555712647,0.520995533,0.493645451,0.240462446,axiomatic set theory,cs
0.277754607,0.537254991,0.139412439,0.726524126,back end,cs
0.508643329,0.47200139,0.508057735,0.388375203,backpropagation based artificial neural networks,cs
0.915491749,0.392391073,0.57496323,0.110621915,backward euler method,cs
0.446417845,0.24654354,0.635761284,0.204997211,balanced binary search trees,cs
0.675250409,0.367848434,0.895146677,0.513937521,basic function,cs
0.394826039,0.741285961,0.66765288,0.669460581,bayes net,cs
0.414083999,0.736456544,0.648380823,0.660075462,bayes network,cs
0.350754149,0.343657563,0.525615103,0.182657054,bayesian network,cs
0.350854484,0.358004239,0.52499767,0.190420281,bayesian networks,cs
0.700485597,0.240594494,0.527325297,0.509699927,bcjr algorithm,cs
0.562692985,0.397271614,0.63744577,0.451518027,behavioral software design pattern,cs
0.461420599,0.8300061,0.686365398,0.318350204,belief network,cs
0.587111889,0.332906263,0.458471772,0.306960212,bernstein basis polynomials,cs
0.614378273,0.359149406,0.419862686,0.328623129,bernstein polynomial,cs
0.580091471,0.325620299,0.463536466,0.304607344,bernstein polynomials,cs
0.654431113,0.719439481,0.573709973,0.684550515,big data,cs
0.676774508,0.463545,0.192669594,0.33162239,binary arithmetic,cs
0.424989883,0.66446296,0.200387104,0.274542352,binary dependent variable,cs
0.114809044,0.686276933,0.613721,0.443501565,binary file,cs
0.465119746,0.739104601,0.181702528,0.707167667,binary floating point,cs
0.448197972,0.668677579,0.239100264,0.267618344,binary inputs,cs
0.568953335,0.827971874,0.537725031,0.272589631,binary lexicographic code,cs
0.56333675,0.834662522,0.521199268,0.266955756,binary lexicographic codes,cs
0.459987226,0.671947886,0.254952429,0.263075875,binary operation,cs
0.424180187,0.2786524,0.620530848,0.241335205,binary search tree,cs
0.435755282,0.259188551,0.682967044,0.226146986,binary search tree algorithm,cs
0.431104315,0.277377716,0.588573367,0.239066426,binary search trees,cs
0.577148236,0.465585993,0.326341709,0.121084896,binary space partitioning,cs
0.75090633,0.009489492,0.547624656,0.339443738,binary splitting,cs
0.331305032,0.118983275,0.499543318,0.714099099,binary tree,cs
0.332106201,0.121504984,0.502733033,0.724930191,binary trees,cs
0.636245569,0.560967701,0.510935855,0.554463784,bio-inspired computing,cs
0.483194174,0.426409489,0.884632594,0.22789108,biodiversity informatics,cs
0.648095321,0.625105369,0.503443768,0.502120866,biologically inspired computing,cs
0.5142801,0.527580817,0.513030504,0.750017523,bit array,cs
0.482574541,0.623164689,0.447699307,0.76646166,bit sequences,cs
0.421654186,0.564386438,0.2827586,0.893511854,bit slicing,cs
0.509815279,0.603769742,0.448452702,0.741520805,bit string,cs
0.765172618,0.40376228,0.581061113,0.71475949,bitwise operation,cs
0.781202277,0.414957559,0.588559143,0.708542145,bitwise operations,cs
0.700224717,0.346535586,0.539062528,0.519753108,block lanczos algorithm,cs
0.650519313,0.10512102,0.59932587,0.566705735,boltzmann learning rule,cs
0.301854416,0.452997543,0.572668936,0.852890071,bonferroni testing,cs
0.681871725,0.595645815,0.447477491,0.26613097,boolean algebra,cs
0.417336425,0.318644607,0.407002855,0.561506463,boolean function,cs
0.414275349,0.306703509,0.405572891,0.566354097,boolean functions,cs
0.628210046,0.625005257,0.499913554,0.266409192,boolean logic,cs
0.406685983,0.268432516,0.400364507,0.579599114,boolean operators,cs
0.560576494,0.269900255,0.560551343,0.397110167,boosting methods,cs
0.530225487,0.621038729,0.364643811,0.302692876,boundary singularity,cs
0.218934132,0.639283979,0.483861803,0.931034944,bsp tree,cs
0.311392554,0.447018078,0.539283649,0.343186805,buffer overflows,cs
0.285857887,0.464642329,0.552383368,0.361406874,buffer overflowsruntime error detection tools,cs
0.65193822,0.700162524,0.239266651,0.814086867,c4 model,cs
0.675559684,0.65058607,0.124425112,0.488359364,caesar cipher,cs
0.274378854,0.326589128,0.425114428,0.612716093,caesar shift,cs
0.667501939,0.660554424,0.462544919,0.144036064,categorical label,cs
0.533672267,0.4694766,0.495705269,0.20433391,category theory,cs
0.288511812,0.506717755,0.632269187,0.223653404,character recognition,cs
0.467803741,0.391552863,0.798096113,0.781564366,character sets,cs
0.637748476,0.387267302,0.411042494,0.327784068,characteristic polynomial,cs
0.565626538,0.648649243,0.082801996,0.429295899,chi-square automatic interaction detection,cs
0.440075283,0.822867632,0.296783364,0.56972288,child nodes,cs
0.435008638,0.857426701,0.274342256,0.567300318,child vertices,cs
0.290620228,0.139702943,0.381451149,0.568922764,cholesky decomposition,cs
0.587506338,0.710174113,0.411221988,0.234002023,classic ad hoc,cs
0.564491637,0.586190978,0.519303176,0.288536664,classical backpropagation rule,cs
0.598865881,0.480279111,0.35427873,0.559309863,classical computer,cs
0.853985237,0.255646574,0.516183671,0.365695901,classification accuracy,cs
0.824011188,0.217508576,0.522255393,0.376884165,classification algorithms,cs
0.830712448,0.181431712,0.580302611,0.348725592,classification criteria,cs
0.579003873,0.291302809,0.579790385,0.14940037,classification problem,cs
0.826959247,0.17848783,0.550176761,0.375221843,classification tasks,cs
0.205090857,0.699961615,0.480756357,0.918837809,clique trees,cs
0.573993125,0.708914038,0.275132757,0.409891099,clock cycle,cs
0.68919534,0.363125749,0.402764006,0.46841576,clustering algorithms,cs
0.69259345,0.622251824,0.683321233,0.578577007,code libraries,cs
0.5303568,0.181140291,0.491697738,0.384083286,code stylometry,cs
0.677845333,0.697612726,0.529636478,0.283724644,coding theory,cs
0.453599836,0.534423497,0.656746248,0.32302228,cognitive architecture,cs
0.484476762,0.481983212,0.595303278,0.348658047,cognitive architectures,cs
0.449683237,0.442447263,0.581271187,0.321514374,cognitive dimensions,cs
0.561487514,0.193543777,0.509051151,0.44862655,cognitive modeling,cs
0.50613063,0.400178552,0.526051846,0.482112592,cognitive robotics,cs
0.523229432,0.407794808,0.75386757,0.298277361,cognitive science,cs
0.491916224,0.465604787,0.561918469,0.276245877,cognitive theories,cs
0.58594143,0.425341038,0.42038335,0.253532282,combinatorial game theory,cs
0.419959342,0.639417819,0.635155939,0.638362046,communications network,cs
0.26648781,0.316868892,0.350368096,0.725731673,comparison sort,cs
0.777114575,0.250845435,0.540729085,0.395193897,comparison sorting algorithms,cs
0.263920733,0.326420941,0.357865653,0.729526218,comparison sorts,cs
0.197581191,0.450149587,0.504392012,0.383332698,compilation error,cs
0.191055791,0.444310297,0.505621228,0.374015749,compilation errors,cs
0.85314657,0.195663318,0.476009084,0.338585491,compiler correctness,cs
0.638942108,0.44604839,0.698613844,0.551463711,compiler design,cs
0.682340035,0.44601169,0.692285435,0.538289321,compiler optimization,cs
0.678463362,0.436567662,0.679759152,0.5240175,compiler optimization technique,cs
0.629663622,0.408296597,0.512572969,0.26948082,compiler theory,cs
0.603624541,0.541726819,0.325663083,0.470026802,complex functions,cs
0.588749676,0.598107706,0.511390329,0.804610413,complex vector spaces,cs
0.581055824,0.470410298,0.451939493,0.237144315,complexity theory,cs
0.847904356,0.725555814,0.489667015,0.525543404,composition filters,cs
0.54761372,0.694296806,0.488592546,0.279288458,compound logic gates,cs
0.890628248,0.627811888,0.723205694,0.455196033,compressed data,cs
0.48029336,0.721065699,0.272473697,0.469776069,computation time,cs
0.607962787,0.481350538,0.48205347,0.226155559,computational complexity theory,cs
