tSNE Tuned 0,tSNE Tuned 1,tSNE Tuned 2,tSNE Tuned 3,tSNE Tuned 4,phrase,label
0.565971404,0.405232483,0.464065481,0.42960915,0.672918468,3d computer graphics,cs
0.57615636,0.43974716,0.480989714,0.465269507,0.679129935,3d core graphics system,cs
0.618803349,0.408211952,0.167015993,0.376202457,0.565256298,Gradient boosting,cs
0.603963142,0.785001297,0.605488794,0.487214092,0.464042074,Node Link,cs
0.425339603,0.30194336,0.555121198,0.534488954,0.492400844,Object Oriented Programming,cs
0.791113356,0.470282615,0.451543414,0.474700557,0.808455278,Singleton pattern,cs
0.569211003,0.297841733,0.248689753,0.553633153,0.415930829,abstract algebra,cs
0.556681916,0.176812477,0.615299945,0.74481431,0.473006865,abstract data structures,cs
0.573507701,0.210271923,0.631277363,0.711312814,0.460281234,abstract data type,cs
0.583620154,0.217006985,0.606116827,0.658927076,0.488612498,abstract graphical data type,cs
0.717773196,0.362648039,0.577607966,0.549704736,0.637796021,abstract machines,cs
0.336572868,0.456664044,0.359071685,0.51621928,0.738560593,acoustic model,cs
0.397901703,0.685522677,0.543957331,0.356504511,0.493353993,active networking,cs
0.380166893,0.355336842,0.465237324,0.327795361,0.556567507,adaptive huffman coding,cs
0.497013424,0.486033063,0.489788943,0.500556536,0.386336429,adaptive predictive coding,cs
0.340333793,0.174402724,0.494842713,0.775477583,0.292831661,adjacency list,cs
0.279338518,0.154085757,0.541813242,0.715602761,0.343908967,adjacency list data structure,cs
0.353791094,0.511559345,0.599146692,0.698775396,0.782936253,adjacent vertices,cs
0.683005193,0.465827819,0.55580309,0.489362377,0.569841271,advanced computing environment,cs
0.722952359,0.458480593,0.530947443,0.374840352,0.576364172,affective computing,cs
0.487084632,0.300385122,0.235451255,0.535822563,0.382550105,algebraic theories,cs
0.680236833,0.480175633,0.432516889,0.392928346,0.346392964,algorithmic assignment,cs
0.473800344,0.307170121,0.276903605,0.546893458,0.322317995,algorithmic complexity theory,cs
0.467447853,0.432941306,0.598815095,0.581693181,0.373244635,algorithmic design,cs
0.445586196,0.325061748,0.334164847,0.583184002,0.304244921,algorithmic information theory,cs
0.811109167,0.654099871,0.493998386,0.649717723,0.39166679,analog filters,cs
0.746516726,0.455585635,0.486670246,0.58261451,0.732972428,analog recording,cs
0.696874027,0.477987662,0.473792008,0.614399645,0.728160175,analog signal,cs
0.402533057,0.476278462,0.55238899,0.575229486,0.667810689,analog-to-digital converter,cs
0.598936634,0.68516833,0.35391901,0.215004494,0.45048116,application crashing,cs
0.485424665,0.393131025,0.641184058,0.565555389,0.55612337,application programming interface,cs
0.476222398,0.397910687,0.654673714,0.605448892,0.551131107,application programming interfaces,cs
0.504067505,0.298128033,0.384746683,0.475789361,0.406235924,applied mathematics,cs
0.66621098,0.354729758,0.502048848,0.51965197,0.331306076,approximation algorithms,cs
0.607124759,0.67658965,0.507172871,0.264030693,0.793580064,arnoldi iteration,cs
0.395015756,0.861093967,0.440737975,0.532473359,0.433684384,array list,cs
0.502134255,0.605398765,0.684750601,0.446591606,0.943231688,artificial bee colony algorithm,cs
0.332872466,0.420573007,0.364374848,0.659951011,0.476548509,artificial consciousness,cs
0.608732569,0.443225188,0.531165273,0.269779531,0.43847075,artificial intelligence,cs
0.653872524,0.444726776,0.482453367,0.231797528,0.444554584,artificial intelligent agents,cs
0.500216917,0.444224979,0.443908161,0.642391686,0.461276562,artificial neural network,cs
0.531106914,0.441521668,0.45813727,0.668616161,0.422494795,artificial neural networks,cs
0.403891534,0.450667974,0.434904092,0.668327551,0.471482581,artificial neurons,cs
0.417202215,0.502165291,0.469344572,0.695725338,0.455419461,artificial neurons stochastic transfer functions,cs
0.487094187,0.448764848,0.537964794,0.665451511,0.432895486,artificial systems,cs
0.468316328,0.394233576,0.486447825,0.72613498,0.49147864,associative arrays,cs
0.625688477,0.297107189,0.405998978,0.694905458,0.27025772,associative classifier,cs
0.257034315,0.309920331,0.560887785,0.513344851,0.667692286,augmented reality,cs
0.301507645,0.579758875,0.627874423,0.619457249,0.460190079,authentication mechanism,cs
0.375569505,0.382441285,0.170556354,0.382155594,0.273170144,automata theory,cs
0.466854643,0.314214914,0.504672587,0.601617577,0.577052835,automata-based programming,cs
0.20690256,0.551014927,0.48954885,0.512769643,0.516421752,automatic memory management,cs
0.284897815,0.34522057,0.220532926,0.489852042,0.604732599,automatic speech recognition,cs
0.690031952,0.455630027,0.528541081,0.52205783,0.534980852,autonomic computing,cs
0.398874607,0.63935555,0.675419291,0.29959364,0.478683337,autonomic networking,cs
0.538667641,0.276765268,0.628555261,0.648186386,0.708091983,autonomous operation,cs
0.566233474,0.510595874,0.516531288,0.638516806,0.575912793,autonomous processing nodes,cs
0.45613711,0.892384438,0.552089099,0.384415318,0.934525589,avl trees,cs
0.429650235,0.37851875,0.254525981,0.546625119,0.348922818,axiomatic set theory,cs
0.547333083,0.871307132,0.547691099,0.292707764,0.685000688,back end,cs
0.527036031,0.443685094,0.384759438,0.599717525,0.422450679,backpropagation based artificial neural networks,cs
0.586020649,0.088164015,0.384523576,0.704305599,0.10410458,backward euler method,cs
0.520585136,0.064148536,0.331782999,0.558765815,0.434634094,balanced binary search trees,cs
0.328704263,0.234936722,0.633907759,0.565730494,0.502087412,basic function,cs
0.563361745,0.753397217,0.452807817,0.597097018,0.636089446,bayes net,cs
0.567995322,0.73834804,0.471303495,0.604206313,0.59967556,bayes network,cs
0.35988361,0.198292648,0.441754783,0.776168081,0.473176826,bayesian network,cs
0.394076442,0.210996544,0.430000962,0.788567914,0.462935867,bayesian networks,cs
0.726961718,0.496693542,0.687388479,0.44610494,0.302467631,bcjr algorithm,cs
0.442000557,0.4549553,0.542918002,0.522651025,0.398799512,behavioral software design pattern,cs
0.258159277,0.541023052,0.443718487,0.816656252,0.39128089,belief network,cs
0.428817018,0.27059161,0.588933876,0.694245645,0.329010628,bernstein basis polynomials,cs
0.55655922,0.237795546,0.475408777,0.713693193,0.379499382,bernstein polynomial,cs
0.404001721,0.268744903,0.607536965,0.676522905,0.317685217,bernstein polynomials,cs
0.373799991,0.484677068,0.765884528,0.460060654,0.603108562,big data,cs
0.716391364,0.367739167,0.256734056,0.654174765,0.454797406,binary arithmetic,cs
0.806492568,0.498231883,0.275393805,0.75586471,0.466129753,binary dependent variable,cs
0.020285438,0.639436265,0.372370157,0.523940068,0.645839907,binary file,cs
0.228850855,0.503954784,0.581621521,0.415945621,0.807177822,binary floating point,cs
0.807911833,0.447920537,0.271277815,0.732809091,0.474558661,binary inputs,cs
0.504408412,0.280584313,0.264621849,0.727828507,0.518358253,binary lexicographic code,cs
0.516349395,0.289043458,0.237858858,0.755314162,0.512430981,binary lexicographic codes,cs
0.813102458,0.419519198,0.289239776,0.718317593,0.483075994,binary operation,cs
0.500667223,0.040853973,0.353827608,0.514460763,0.492709698,binary search tree,cs
0.512742514,0.055074633,0.412948762,0.527933808,0.437228256,binary search tree algorithm,cs
0.500845045,0.051603048,0.303213649,0.526652675,0.506755894,binary search trees,cs
0.796953806,0.438697662,0.343504797,0.591311081,0.148490962,binary space partitioning,cs
0.835386431,0.210735817,0.186325849,0.559012493,0.333075084,binary splitting,cs
0.381604617,0.379612601,0.463572878,0.70918654,0.791759121,binary tree,cs
0.362037945,0.372694689,0.46591962,0.682414059,0.80631317,binary trees,cs
0.662816967,0.400054069,0.595237877,0.445734657,0.590122054,bio-inspired computing,cs
0.400705405,0.375485827,0.403039797,0.112945573,0.32875941,biodiversity informatics,cs
0.625394999,0.383413623,0.615046255,0.413965036,0.52701002,biologically inspired computing,cs
0.761356079,0.565172015,0.697559,0.551702841,0.678117637,bit array,cs
0.53595423,0.590459871,0.374375904,0.554866006,0.753784505,bit sequences,cs
0.506816233,0.681804584,0.776140926,0.463317982,0.80032993,bit slicing,cs
0.582967816,0.589427391,0.414021956,0.603347256,0.766401707,bit string,cs
0.957787909,0.366412114,0.540214607,0.621149724,0.548667348,bitwise operation,cs
0.953417213,0.359524796,0.583490456,0.633239043,0.536678647,bitwise operations,cs
0.643843395,0.498504237,0.654334278,0.50883764,0.36456004,block lanczos algorithm,cs
0.70108808,0.24284516,0.158375319,0.327700782,0.456069844,boltzmann learning rule,cs
0.588794758,0.683956357,0.577192267,0.246266192,0.822458187,bonferroni testing,cs
0.533905871,0.33115975,0.251993957,0.560545035,0.459295913,boolean algebra,cs
0.797481432,0.557086068,0.44316659,0.350081061,0.570647991,boolean function,cs
0.807109051,0.56568835,0.44043202,0.313919024,0.573904248,boolean functions,cs
0.437245114,0.341019264,0.282337646,0.59755303,0.43226751,boolean logic,cs
0.817857029,0.540474717,0.384617319,0.289667801,0.576293444,boolean operators,cs
0.418197219,0.482357858,0.473422192,0.392780448,0.340837384,boosting methods,cs
0.504267084,0.416615916,0.501409686,0.84930231,0.517829341,boundary singularity,cs
0.47649481,0.873370975,0.60102244,0.443554241,0.88578435,bsp tree,cs
0.619932419,0.653400981,0.309071194,0.312177585,0.447294132,buffer overflows,cs
0.590007817,0.65257019,0.348470447,0.273047277,0.423377034,buffer overflowsruntime error detection tools,cs
0.78593379,0.530503891,0.798151515,0.252463655,0.665052559,c4 model,cs
0.924024941,0.525235563,0.509356207,0.753298151,0.458409514,caesar cipher,cs
0.451796419,0.556606128,0.197980015,0.153737969,0.591991168,caesar shift,cs
0.550714087,0.332532877,0.397594914,0.731673368,0.243594648,categorical label,cs
0.389897602,0.414235061,0.217429311,0.503585771,0.302295894,category theory,cs
0.339620841,0.310672851,0.273131611,0.397439135,0.651044734,character recognition,cs
0.732902433,0.557461119,0.299236542,0.465233024,0.760803217,character sets,cs
