tSNE Untuned 0,tSNE Untuned 1,phrase,label
0.189467404,0.135090367,3d computer graphics,cs
0.188408807,0.136418723,3d core graphics system,cs
0.062318492,0.600544183,Gradient boosting,cs
0.246871406,0.436403211,Node Link,cs
0.255466399,0.234470697,Object Oriented Programming,cs
0.909108739,0.661137453,Singleton pattern,cs
0.645858944,0.051977937,abstract algebra,cs
0.813558698,0.837751245,abstract data structures,cs
0.812088101,0.838580607,abstract data type,cs
0.812903315,0.839664188,abstract graphical data type,cs
0.806789346,0.843036197,abstract machines,cs
0.581584688,0.416096993,acoustic model,cs
0.095547244,0.347754574,active networking,cs
0.550536244,0.326736331,adaptive huffman coding,cs
0.548828208,0.32670732,adaptive predictive coding,cs
0.481853501,0.425406824,adjacency list,cs
0.474977924,0.419909477,adjacency list data structure,cs
0.920120763,0.523756849,adjacent vertices,cs
0.331952589,0.153073778,advanced computing environment,cs
0.321164551,0.141535554,affective computing,cs
0.59722549,0.020860054,algebraic theories,cs
0.411254876,0.134506322,algorithmic assignment,cs
0.398844832,0.094168739,algorithmic complexity theory,cs
0.409782421,0.133858381,algorithmic design,cs
0.40991262,0.132870419,algorithmic information theory,cs
0.818449017,0.946987152,analog filters,cs
0.818769441,0.947037768,analog recording,cs
0.818047814,0.946845218,analog signal,cs
0.615038973,0.217079562,analog-to-digital converter,cs
0.828837741,0.768210368,application crashing,cs
0.234432911,0.237859615,application programming interface,cs
0.235604458,0.237157896,application programming interfaces,cs
0.588514029,0.034654402,applied mathematics,cs
0.553318029,0.1108263,approximation algorithms,cs
0.585466661,0.514614328,arnoldi iteration,cs
0.465854068,0.346653241,array list,cs
0.676896399,0.123383237,artificial bee colony algorithm,cs
0.881097397,0.801036636,artificial consciousness,cs
0.452692367,0.101424114,artificial intelligence,cs
0.455900753,0.101215702,artificial intelligent agents,cs
0.459602737,0.11872019,artificial neural network,cs
0.459751789,0.118689139,artificial neural networks,cs
0.884398246,0.800423336,artificial neurons,cs
0.461946084,0.116350414,artificial neurons stochastic transfer functions,cs
0.88138388,0.799953447,artificial systems,cs
0.505352627,0.417997067,associative arrays,cs
0.465385222,0.401267874,associative classifier,cs
0.301452124,0.185854911,augmented reality,cs
