tSNE Untuned 0,tSNE Untuned 1,tSNE Untuned 2,tSNE Untuned 3,phrase,label
0.64814075,0.593962514,0.844560158,0.763160964,3d computer graphics,cs
0.639971173,0.593137254,0.841372452,0.759375251,3d core graphics system,cs
0.529476623,0.946055098,0.442946014,0.667053633,Gradient boosting,cs
0.609429379,0.387859894,0.752883674,0.512224554,Node Link,cs
0.499629411,0.696299001,0.654807137,0.506959334,Object Oriented Programming,cs
0.621550941,0.533987663,0.282354472,0.31117567,Singleton pattern,cs
0.360140633,0.522480506,0.409788321,0.049269286,abstract algebra,cs
0.468712746,0.374500835,0.242199835,0.286525083,abstract data structures,cs
0.464919478,0.373466485,0.243816978,0.290115019,abstract data type,cs
0.46462992,0.386122182,0.24356979,0.29128045,abstract graphical data type,cs
0.456559228,0.355758714,0.22753698,0.314924131,abstract machines,cs
0.466026812,0.528735457,0.45745044,0.447898029,acoustic model,cs
0.607899823,0.400461367,0.84435872,0.401445809,active networking,cs
0.568627453,0.783986528,0.591522194,0.388240948,adaptive huffman coding,cs
0.562375399,0.779014032,0.590475921,0.390823572,adaptive predictive coding,cs
0.388476431,0.672308462,0.541122199,0.550271705,adjacency list,cs
0.398714808,0.679694339,0.549622369,0.558213931,adjacency list data structure,cs
0.156337456,0.431869386,0.455238754,0.32337915,adjacent vertices,cs
0.66107669,0.600214062,0.786194117,0.607585786,advanced computing environment,cs
0.631078993,0.554058299,0.822193463,0.561089213,affective computing,cs
0.438482204,0.630533126,0.796525838,0.825723663,algebraic theories,cs
0.325929281,0.626380778,0.757976162,0.514852821,algorithmic assignment,cs
0.282132529,0.556371779,0.82444136,0.558616399,algorithmic complexity theory,cs
0.328590926,0.626781226,0.759624169,0.516506902,algorithmic design,cs
0.334714707,0.615450124,0.754155966,0.531293843,algorithmic information theory,cs
0.530916341,0.589933914,0.084138133,0.366953887,analog filters,cs
0.527291164,0.596824613,0.086066175,0.366857335,analog recording,cs
0.527248479,0.595276895,0.086964688,0.367007128,analog signal,cs
0.518077016,0.622287771,0.086165849,0.361947443,analog-to-digital converter,cs
0.650418253,0.251228766,0.301956202,0.221459979,application crashing,cs
0.560864378,0.680309281,0.693952064,0.452393946,application programming interface,cs
0.560366837,0.681699393,0.693849486,0.453942677,application programming interfaces,cs
0.422664789,0.63373114,0.773986741,0.76751584,applied mathematics,cs
0.277332574,0.410682105,0.733621218,0.706478198,approximation algorithms,cs
0.394823119,0.64235813,0.394415201,0.66379371,arnoldi iteration,cs
0.344527843,0.610752701,0.556456504,0.653175103,array list,cs
0.387468801,0.951182718,0.557216421,0.730267944,artificial bee colony algorithm,cs
0.529173603,0.417427531,0.281084669,0.137202098,artificial consciousness,cs
0.569346156,0.929948447,0.771222959,0.505569558,artificial intelligence,cs
0.553966977,0.945313505,0.771877602,0.510100319,artificial intelligent agents,cs
0.551013682,0.956265426,0.70947604,0.505689531,artificial neural network,cs
0.550881864,0.955243579,0.708811073,0.505310198,artificial neural networks,cs
0.516644541,0.408468701,0.272836138,0.13109291,artificial neurons,cs
0.540692743,0.967886335,0.724219842,0.53790532,artificial neurons stochastic transfer functions,cs
0.526430694,0.413656889,0.280216543,0.137483105,artificial systems,cs
0.357236071,0.592827943,0.522870025,0.599165374,associative arrays,cs
0.308890564,0.591673817,0.598758887,0.533273618,associative classifier,cs
0.729156034,0.530021705,0.828464806,0.463910823,augmented reality,cs
0.713849219,0.622949047,0.657355686,0.388489298,authentication mechanism,cs
0.567916058,0.7352534,0.730564666,0.65236734,automata theory,cs
0.561329537,0.734655927,0.730000433,0.643466209,automata-based programming,cs
0.349763931,0.781950021,0.6596945,0.820399277,automatic memory management,cs
0.558933619,0.248007693,0.73492863,0.393126887,automatic speech recognition,cs
0.570224355,0.519919023,0.80242162,0.576641132,autonomic computing,cs
0.55779411,0.501428544,0.795743714,0.569289097,autonomic networking,cs
