tSNE Untuned 0,tSNE Untuned 1,tSNE Untuned 2,tSNE Untuned 3,tSNE Untuned 4,phrase,label
0.007198376,0.605297682,0.414679066,0.406936636,0.485368246,3d computer graphics,cs
0.009401176,0.603253622,0.413171431,0.385982253,0.482703449,3d core graphics system,cs
0.468539363,0.412936597,0.402086321,0.71796492,0.86617932,Gradient boosting,cs
0.392525244,0.416065666,0.392774425,0.304644407,0.830585038,Node Link,cs
0.332255552,0.733606275,0.351418506,0.429049529,0.294148175,Object Oriented Programming,cs
0.776180179,0.514354863,0.431552101,0.277186952,0.27757776,Singleton pattern,cs
0.929489074,0.59852963,0.402006087,0.455302125,0.564702715,abstract algebra,cs
0.772832124,0.45776402,0.586588776,0.426457412,0.451931465,abstract data structures,cs
0.770833797,0.458515114,0.592161213,0.415831448,0.451256004,abstract data type,cs
0.774252581,0.468620714,0.591092447,0.393664657,0.46561353,abstract graphical data type,cs
0.73914034,0.473951979,0.619896875,0.450860807,0.445219191,abstract machines,cs
0.562959527,0.780521498,0.52361773,0.427812951,0.7134578,acoustic model,cs
0.262562711,0.370473531,0.547261247,0.41516166,0.783273408,active networking,cs
0.451640997,0.899834639,0.364205986,0.416830706,0.351115646,adaptive huffman coding,cs
0.451378576,0.894057681,0.37034156,0.431156877,0.352261495,adaptive predictive coding,cs
0.492588005,0.585477718,0.333758142,0.389641084,0.337680497,adjacency list,cs
0.472013974,0.582476829,0.314080809,0.382263842,0.333336133,adjacency list data structure,cs
0.49651535,0.671851935,0.520228181,0.53264987,0.117545393,adjacent vertices,cs
0.223203671,0.631362935,0.327540423,0.482789106,0.751704749,advanced computing environment,cs
0.214012237,0.534027967,0.312918218,0.423568426,0.725367182,affective computing,cs
0.265825592,0.818279196,0.165436517,0.468082272,0.495091028,algebraic theories,cs
0.289469416,0.73244772,0.436445739,0.420563155,0.642618114,algorithmic assignment,cs
0.20699698,0.741759239,0.39132511,0.745750177,0.478326502,algorithmic complexity theory,cs
0.288684771,0.733756115,0.432392748,0.42927954,0.63746882,algorithmic design,cs
0.29436032,0.708204488,0.42385014,0.442635585,0.656174386,algorithmic information theory,cs
